Beretinec;Beretinec;Varaždinska županija
Berislavec;Sveti Ivan Zelina;Zagrebačka županija
Bertelovci;Jakšić;Požeško-slavonska županija
Bertoši;Pazin;Istarska županija
Bestovje;Sveta Nedelja;Zagrebačka županija
Bestrma;Sunja;Sisačko-moslavačka županija
Bešinci;Kaptol;Požeško-slavonska županija
Bešlinec;Kloštar Ivanić;Zagrebačka županija
Beter;Klinča Sela;Zagrebačka županija
Betina;Tisno;Šibensko-kninska županija
Bezavina;Veliko Trgovišće;Krapinsko-zagorska županija
Bibali;Buje;Istarska županija
Bibići;Svetvinčenat;Istarska županija
Bibinje;Bibinje;Zadarska županija
Bicko Selo;Garčin;Brodsko-posavska županija
Bičići;Barban;Istarska županija
Bičine;Skradin;Šibensko-kninska županija
Bijela;Sirač;Bjelovarsko-bilogorska županija
Bijela Gorica;Marija Gorica;Zagrebačka županija
Bijela Loza;Podgorač;Osječko-baranjska županija
Bijela Stijena;Okučani;Brodsko-posavska županija
Bijele Vode;Glina;Sisačko-moslavačka županija
Bijele Zemlje;Grožnjan;Istarska županija
Bijeli Klanac;Krnjak;Karlovačka županija
Bijeli Vir;Zažablje;Dubrovačko-neretvanska županija
Bijelnik;Petrinja;Sisačko-moslavačka županija
Bijelo Brdo;Erdut;Osječko-baranjska županija
Bijeljevina Orahovička;Orahovica;Virovitičko-podravska županija
Bikovec;Maruševec;Varaždinska županija
Bila Vlaka;Stankovci;Zadarska županija
Bilaj;Gospić;Ličko-senjska županija
Bile;Novi Vinodolski;Primorsko-goranska županija
Bili Brig;Nova Kapela;Brodsko-posavska županija
Bilice;Bilice;Šibensko-kninska županija
Bilice;Pleternica;Požeško-slavonska županija
Bilišane;Obrovac;Zadarska županija
Bilo;Cetingrad;Karlovačka županija
Bilje;Bilje;Osječko-baranjska županija
Biljevec;Maruševec;Varaždinska županija
Biljevina;Delnice;Primorsko-goranska županija
Biljevine;Senj;Ličko-senjska županija
Biočić;Drniš;Šibensko-kninska županija
Biograd na Moru;Biograd na Moru;Zadarska županija
Biokovsko Selo;Zagvozd;Splitsko-dalmatinska županija
Biorine;Cista Provo;Splitsko-dalmatinska županija
Biovičino Selo;Kistanje;Šibensko-kninska županija
Birovača;Donji Lapac;Ličko-senjska županija
Bisag;Breznica;Varaždinska županija
Bisko;Trilj;Splitsko-dalmatinska županija
Biskupija;Biskupija;Šibensko-kninska županija
Bistrač;Sunja;Sisačko-moslavačka županija
Bistrica;Slatina;Virovitičko-podravska županija
Bistrinci;Belišće;Osječko-baranjska županija
Bišćanovo;Glina;Sisačko-moslavačka županija
Biševo;Komiža;Splitsko-dalmatinska županija
Biškupci;Velika;Požeško-slavonska županija
Biškupec Zelinski;Sveti Ivan Zelina;Zagrebačka županija
Bitorajci;Bosiljevo;Karlovačka županija
Bizovac;Bizovac;Osječko-baranjska županija
Bjelajci;Pakrac;Požeško-slavonska županija
Bjelanovac;Lipik;Požeško-slavonska županija
Bjelina;Benkovac;Zadarska županija
Bjeliševac;Kutjevo;Požeško-slavonska županija
Bjelkovac;Nova Bukovica;Virovitičko-podravska županija
Bjelopolje;Plitvička jezera;Ličko-senjska županija
Bjelovar;Bjelovar;Bjelovarsko-bilogorska županija
Blaca;Solin;Splitsko-dalmatinska županija
Blace;Slivno;Dubrovačko-neretvanska županija
Blacko;Pleternica;Požeško-slavonska županija
Blagaj;Slunj;Karlovačka županija
Blagdanići;Poreč;Istarska županija
Blagorodovac;Dežanovac;Bjelovarsko-bilogorska županija
Blaguša;Zagreb;Grad Zagreb
Blanje;Viljevo;Osječko-baranjska županija
Blaškovec;Sveti Ivan Zelina;Zagrebačka županija
Blaškovići;Kršan;Istarska županija
Blata;Saborsko;Karlovačka županija
Blatna Vas;Buzet;Istarska županija
Blatnica;Štefanje;Bjelovarsko-bilogorska županija
Blatnica Pokupska;Karlovac;Karlovačka županija
Blato;Blato;Dubrovačko-neretvanska županija
Blato;Mljet;Dubrovačko-neretvanska županija
Blato na Cetini;Omiš;Splitsko-dalmatinska županija
Blatuša;Gvozd;Sisačko-moslavačka županija
Blaževci;Vrbovsko;Primorsko-goranska županija
Blaževdol;Sveti Ivan Zelina;Zagrebačka županija
Blažević Dol;Staro Petrovo Selo;Brodsko-posavska županija
Blinja;Petrinja;Sisačko-moslavačka županija
Blinjska Greda;Sunja;Sisačko-moslavačka županija
Blinjski Kut;Sisak;Sisačko-moslavačka županija
Blizna Donja;Marina;Splitsko-dalmatinska županija
Blizna Gornja;Marina;Splitsko-dalmatinska županija
Bobare;Okučani;Brodsko-posavska županija
Bobodol;Promina;Šibensko-kninska županija
Bobota;Trpinja;Vukovarsko-srijemska županija
Bobovac;Sunja;Sisačko-moslavačka županija
Bobovec Rozganski;Dubravica;Zagrebačka županija
Bobovec Tomaševečki;Klanjec;Krapinsko-zagorska županija
Bobovica;Samobor;Zagrebačka županija
Bobovišća na Moru;Milna;Splitsko-dalmatinska županija
Bobovišća;Milna;Splitsko-dalmatinska županija
Bobovje;Krapina;Krapinsko-zagorska županija
Bocanjevci;Belišće;Osječko-baranjska županija
Bockovac;Viljevo;Osječko-baranjska županija
Bočadir;Konjščina;Krapinsko-zagorska županija
Bočaki;Konjščina;Krapinsko-zagorska županija
Bočkinci;Marijanci;Osječko-baranjska županija
Bočkovec;Sveti Petar Orehovec;Koprivničko-križevačka županija
Bodegraj;Okučani;Brodsko-posavska županija
Bodovaljci;Vrbje;Brodsko-posavska županija
Bogačevo Riječko;Sveti Petar Orehovec;Koprivničko-križevačka županija
Bogačevo;Sveti Petar Orehovec;Koprivničko-križevačka županija
Bogatić;Drniš;Šibensko-kninska županija
Bogatnik;Obrovac;Zadarska županija
Bogdanovci;Bogdanovci;Vukovarsko-srijemska županija
Bogdanovec;Gornji Mihaljevec;Međimurska županija
Bogdanovići;Prgomet;Splitsko-dalmatinska županija
Bogdašić;Brestovac;Požeško-slavonska županija
